Über sich selbst sprechen	Talking about oneself	Ich heiße …	My name is …
Über sich selbst sprechen	Talking about oneself	Mein Name ist …	My name is ...
Über sich selbst sprechen	Talking about oneself	Ich komme aus …	I come from ...
Über sich selbst sprechen	Talking about oneself	Ich wohne in …	I live in ...
Über sich selbst sprechen	Talking about oneself	Ich bin von Beruf …	I am a … by profession.
Über sich selbst sprechen	Talking about oneself	Ich arbeite bei … als …	I work at … as …
Über sich selbst sprechen	Talking about oneself	In meiner Freizeit …	In my free time, …
Tätigkeiten Tagsüber:	Activities During the day:	 aufstehen	 to get up
Tätigkeiten Tagsüber:	Activities During the day:	 mit dem Bus/der Straßenbahn/ dem Zug/dem Auto fahren	 to go by bus/tram/ train/car
Tätigkeiten Tagsüber:	Activities During the day:	 im Stau stehen	 to be in a traffic jam
Tätigkeiten Tagsüber:	Activities During the day:	 auf den Fahrstuhl warten	 to wait for the lift
Tätigkeiten Tagsüber:	Activities During the day:	 E-Mails lesen und schreiben	 to read and write emails
Tätigkeiten Tagsüber:	Activities During the day:	 mit Kunden telefonieren	 to talk to clients on the phone
Tätigkeiten Tagsüber:	Activities During the day:	 Vorlesungen/Seminare/Kurse besuchen	 to take lectures/seminars/courses
Tätigkeiten Tagsüber:	Activities During the day:	 an Besprechungen teilnehmen	 to attend meetings
Tätigkeiten Tagsüber:	Activities During the day:	 über andere Leute reden	 to talk about other people
Tätigkeiten Tagsüber:	Activities During the day:	 Konzepte entwickeln	 to develop concepts
Tätigkeiten Tagsüber:	Activities During the day:	 Ideen sammeln	 to collect ideas
Tätigkeiten Tagsüber:	Activities During the day:	 Lösungen für Probleme finden	 to find solutions for problems
Tätigkeiten Tagsüber:	Activities During the day:	 an einer (Master-)Arbeit schreiben	 to be writing a (Master’s) thesis
Tätigkeiten Abends:	Activities in the evening:	 einkaufen gehen	 to go shopping
Tätigkeiten Abends:	Activities in the evening:	 Essen kochen	 to cook food
Tätigkeiten Abends:	Activities in the evening:	 Musik hören	 to listen to music
Tätigkeiten Abends:	Activities in the evening:	 Bücher lesen	 to read books
Tätigkeiten Abends:	Activities in the evening:	 fernsehen	 to watch TV
Tätigkeiten Abends:	Activities in the evening:	 im Internet surfen	 to surf the internet
Tätigkeiten Abends:	Activities in the evening:	 mit Verwandten telefonieren	 to talk to relatives on the phone
Tätigkeiten Abends:	Activities in the evening:	 sich mit Freunden treffen	 to meet friends
Zeit Pünktlichkeit:	Time Punctuality:	 Jemand ist pünktlich.	 Somebody is on time.
Zeit Pünktlichkeit:	Time Punctuality:	 auf die Minute genau kommen	 to arrive right on time
Zeit Pünktlichkeit:	Time Punctuality:	 eine (Master-) Arbeit rechtzeitig abgeben	 to submit a (Master’s) thesis on time
Zeit Pünktlichkeit:	Time Punctuality:	 einen Termin einhalten	 to meet a deadline
Zeit Pünktlichkeit:	Time Punctuality:	 Alles läuft nach Plan.	 Everything is going to plan.
Zeit Unpünktlichkeit:	Time Tardiness:	 Jemand ist unpünktlich.	 Somebody is tardy.
Zeit Unpünktlichkeit:	Time Tardiness:	 es mit der Zeit nicht so genau nehmen	 to not be very particular about time
Zeit Unpünktlichkeit:	Time Tardiness:	 (Ein Zug) hat Verspätung.	 (A train) is delayed.
Zeit Unpünktlichkeit:	Time Tardiness:	 immer zu spät kommen	 to always be late
Zeit Unpünktlichkeit:	Time Tardiness:	 mehr Zeit brauchen	 to need more time
Eine Grafik beschreiben	Describing a diagram	Das Thema der Grafik ist …	The subject of the diagram is …
Eine Grafik beschreiben	Describing a diagram	Man kann in der Grafik sehen, dass …	In the diagram, you can see that …
Eine Grafik beschreiben	Describing a diagram	Die Grafik zeigt, dass …	The diagram shows that …
Eine Grafik beschreiben	Describing a diagram	An erster Stelle steht/stehen …	In first place is/are …
Eine Grafik beschreiben	Describing a diagram	Am beliebtesten ist/sind …	The most popular is/are …
Eine Grafik beschreiben	Describing a diagram	Danach folgt/folgen …	This/these is/are followed by …
Eine Auswahl treffen	Making a choice	Ich entscheide mich für …	I choose …
Eine Auswahl treffen	Making a choice	Ich bevorzuge …,	I prefer …
Eine Auswahl treffen	Making a choice	weil ich mich für … interessiere.	because I am interested in …
Eine Auswahl treffen	Making a choice	Ich finde … sehr interessant, deshalb …	I find … very interesting. Therefore, …
Kunst/Museen	Art/Museums	Ein Museum zeigt/bietet …	A museum shows/offers …
Kunst/Museen	Art/Museums	Eine Ausstellung findet statt/wird eröffnet.	An exhibition takes place/is opened.
Kunst/Museen	Art/Museums	Ein Künstler verkauft/präsentiert seine Bilder.	An artist sells/presents his paintings.
Kunst/Museen	Art/Museums	Die Nachfrage nach echten Ölbildern steigt.	The demand for real oil paintings is increasing.
Kunst/Museen	Art/Museums	Ich finde (das Bild) sehr schön.	I find (the painting) very beautiful.
Kunst/Museen	Art/Museums	Ich mag abstrakte Bilder/gegenständliche Bilder/ Bilder von alten Meistern/ Bilder von zeitgenössischen Künstlern.	I like abstract paintings/figurative paintings/ paintings from old masters/ paintings from contemporary artists.
Kunst/Museen	Art/Museums	Mir gefallen leuchtende/dunkle/dezente Farben.	I like bright/dark/subdued colours.
Kunst/Museen	Art/Museums	Das Bild inspiriert mich/beruhigt mich/ regt meine Fantasie an.	The painting inspires me/calms me/ stimulates my imagination.
Kunst/Museen	Art/Museums	Wenn ich das Bild sehe, denke ich an …	When looking at the painting, I think of …
Kunst/Museen	Art/Museums	In dem Bild steckt/ist viel Bewegung/Ruhe/ Kraft/Glaube …	In the painting, there is a lot of movement/tranquillity/ strength/faith …
